상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,건물명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
BKR버거킹광명소하마트,음식,패스트푸드,패스트푸드,그외 기타 음식점업,,경기도 광명시 소하동 1339-3,경기도 광명시 소하로 97,14316,37.4467111055,126.8842238394
BKR버거킹광명철산점,음식,패스트푸드,패스트푸드,그외 기타 음식점업,다인빌딩,경기도 광명시 철산동 382,경기도 광명시 철산로 24,14237,37.4759051677,126.8689609501
BK영어교습소,학문/교육,학원-어학,학원-외국어/어학,외국어학원,,경기도 광명시 철산동 245-1,경기도 광명시 철산로29번길 9,14236,37.4774004719,126.8686530364
BNAKOREACOMPA,소매,사무/문구/컴퓨터,컴퓨터/주변기기,"컴퓨터 및 주변장치, 소프트웨어 소매업",,경기도 광명시 철산동 472-101,경기도 광명시 도덕공원로 69-1,14251,37.4747912952,126.8640678757
BOBORISNAILS,생활서비스,이/미용/건강,발/네일케어,기타미용업,,경기도 광명시 광명동 105-9,경기도 광명시 광명로928번길 9,14219,37.4814044011,126.8564354066
BSNK,소매,의복의류,일반의류,셔츠 및 기타 의복 소매업,,경기도 광명시 광명동 158-307,경기도 광명시 오리로 939,14264,37.4779290437,126.8584545614
BTS,소매,가정/주방/인테리어,유리/페인트/철물건축자재,"페인트, 유리 및 기타 건설자재 소매업",,경기도 광명시 가학동 220-8,경기도 광명시 가학로 91,14341,37.4162204027,126.8591831328
BYC,소매,의복의류,셔츠/내의/속옷,,,경기도 광명시 광명동 150-17,경기도 광명시 오리로 974,14220,37.4794836811,126.8551503054
BYC,소매,의복의류,여성내의전문점,내의 소매업,,경기도 광명시 철산동 56-8,경기도 광명시 광복로 70,14209,37.4899032871,126.8660413023
BYC,소매,의복의류,셔츠/내의/속옷,,남도빌딩,경기도 광명시 하안동 34-10,경기도 광명시 범안로 1041,14248,37.4621572836,126.8784235548
CAFEARIA,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,,경기도 광명시 소하동 1238,경기도 광명시 기아로 46,14327,37.4358813768,126.8845347165
CAR4U,생활서비스,자동차/이륜차,세차장,자동차 세차업,,경기도 광명시 철산동 66-19,경기도 광명시 시청로 111,14208,37.4861814401,126.8654036087
CARANDDECO,생활서비스,자동차/이륜차,자동차정비/카센타,,,경기도 광명시 노온사동 726-5,경기도 광명시 광명로 317,14336,37.429268154,126.8459619664
CBM커피학원,학문/교육,학원-음악미술무용,피아노/바이올린/기타,예술 학원,,경기도 광명시 광명동 158-847,경기도 광명시 오리로995번길 1,14286,37.4794895119,126.8526291231
CGV광명6,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,크로앙스,경기도 광명시 광명동 150-19,경기도 광명시 오리로 970,14220,37.4793760842,126.8555688275
